ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	simulations.XUI_Simulation	xui-simulation	1678809155683	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1678809156627	1678809156627
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome	1678809156683	1678809156830	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 1	1678809156874	1678809156945	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 2	1678809156948	1678809157059	OK	 
GROUP	1	PRL_CitizenC100_010_PRLHome	1678809156651	1678809157384	524	OK
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login	1678809157393	1678809158068	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 1	1678809158075	1678809158581	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 2	1678809158585	1678809161451	OK	 
GROUP	1	PRL_CitizenC100_020_Login	1678809157384	1678809161627	4203	OK
REQUEST	1	PRL_CitizenC100_030_StartApplication	PRL_CitizenC100_030_005_StartApplication	1678809161628	1678809161711	OK	 
GROUP	1	PRL_CitizenC100_030_StartApplication	1678809161627	1678809161783	135	OK
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed	1678809161784	1678809169438	OK	 
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed Redirect 1	1678809169443	1678809169511	OK	 
GROUP	1	PRL_CitizenC100_040_WhatYouWillNeed	1678809161783	1678809169600	7784	OK
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName	1678809169603	1678809169638	OK	 
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName Redirect 1	1678809169642	1678809169703	OK	 
GROUP	1	PRL_CitizenC100_050_CaseName	1678809169600	1678809169763	146	OK
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode	1678809169765	1678809169819	OK	 
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode Redirect 1	1678809169822	1678809169852	OK	 
GROUP	1	PRL_CitizenC100_060_ChildrenPostCode	1678809169763	1678809169931	149	OK
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement	1678809169932	1678809169964	OK	 
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement Redirect 1	1678809169967	1678809169996	OK	 
GROUP	1	PRL_CitizenC100_070_WrittenAgreement	1678809169931	1678809170065	128	OK
