ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	simulations.XUI_Simulation	xui-simulation	1669651600522	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1669651601887	1669651601887
REQUEST	1	XUI_010_Homepage	XUI_010_005_Homepage	1669651601910	1669651606938	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_ConfigurationUI	1669651624640	1669651624776	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_ConfigJson	1669651624783	1669651624846	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_TsAndCs	1669651624849	1669651624967	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_ConfigUI	1669651624975	1669651625069	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_UserDetails	1669651625072	1669651625185	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_IsAuthenticated	1669651625187	1669651625296	OK	 
REQUEST	1	XUI_010_Homepage	XUI_010_010_AuthLogin	1669651625312	1669651625459	OK	 
REQUEST	1	XUI_010_Homepage	XUI_010_010_AuthLogin Redirect 1	1669651625472	1669651626407	OK	 
REQUEST	1	XUI_010_Homepage	XUI_010_010_AuthLogin Redirect 2	1669651626411	1669651627793	OK	 
GROUP	1	XUI_010_Homepage	1669651601899	1669651631578	29439	OK
REQUEST	1	XUI_020_Login	XUI_020_005_Login	1669651631606	1669651632345	OK	 
REQUEST	1	XUI_020_Login	XUI_020_005_Login Redirect 1	1669651632353	1669651633107	OK	 
REQUEST	1	XUI_020_Login	XUI_020_005_Login Redirect 2	1669651633120	1669651633232	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ConfigurationUI	1669651693296	1669651693811	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ConfigJson	1669651693838	1669651699041	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_TsAndCs	1669651699065	1669651699190	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ConfigUI	1669651699201	1669651699393	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_UserDetails	1669651699405	1669651701489	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_IsAuthenticated	1669651701492	1669651702406	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_MonitoringTools	1669651702413	1669651702746	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ActivityOptions	1669651702835	1669651705087	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ActivityGet	1669651705092	1669651706579	OK	 
REQUEST	1	XUI_020_Login	XUI_020_010_Jurisdictions	1669651706582	1669651711280	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_OrgDetails	1669651711286	1669651712468	OK	 
REQUEST	1	XUI_020_Login	XUI_020_015_WorkBasketInputs	1669651712474	1669651715951	OK	 
REQUEST	1	XUI_020_Login	XUI_020_020_SearchCases	1669651715962	1669651721884	OK	 
GROUP	1	XUI_020_Login	1669651631579	1669651721886	90044	OK
REQUEST	1	XUI_PRL_030_SelectCase	XUI_PRL_030_005_SelectCase	1669651721919	1669651732284	OK	 
REQUEST	1	XUI_PRL_030_SelectCase	XUI_Common_000_UserDetails	1669651732298	1669651733335	OK	 
GROUP	1	XUI_PRL_030_SelectCase	1669651721889	1669651733342	11402	OK
REQUEST	1	XUI_PRL_040_SelectIssue	XUI_PRL_040_005_SelectIssue	1669651733347	1669651735022	KO	jsonPath($.event_token).find.exists, found nothing
GROUP	1	XUI_PRL_040_SelectIssue	1669651733342	1669651735038	1675	KO
USER	***** Private Law Create Case *****	1	END	1669651601887	1669651735046
