ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	simulations.XUI_Simulation	xui-simulation	1670951797093	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1670951798559	1670951798559
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome	1670951798607	1670951799173	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 1	1670951799189	1670951799425	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 2	1670951799426	1670951799785	OK	 
GROUP	1	PRL_CitizenC100_010_PRLHome	1670951798570	1670951806233	7492	OK
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login	1670951806238	1670951806832	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 1	1670951806834	1670951807374	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 2	1670951807377	1670951809984	OK	 
GROUP	1	PRL_CitizenC100_020_Login	1670951806233	1670951810532	4266	OK
REQUEST	1	PRL_CitizenC100_030_StartApplication	PRL_CitizenC100_030_005_StartApplication	1670951810534	1670951810665	OK	 
GROUP	1	PRL_CitizenC100_030_StartApplication	1670951810532	1670951810772	215	OK
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed	1670951810773	1670951819032	OK	 
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed Redirect 1	1670951819033	1670951819074	OK	 
GROUP	1	PRL_CitizenC100_040_WhatYouWillNeed	1670951810772	1670951819209	8413	OK
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName	1670951819210	1670951819260	OK	 
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName Redirect 1	1670951819263	1670951819309	OK	 
GROUP	1	PRL_CitizenC100_050_CaseName	1670951819209	1670951819423	202	OK
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode	1670951819424	1670951819482	OK	 
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode Redirect 1	1670951819483	1670951819579	OK	 
GROUP	1	PRL_CitizenC100_060_ChildrenPostCode	1670951819423	1670951819698	267	OK
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement	1670951819699	1670951819738	OK	 
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement Redirect 1	1670951819739	1670951819778	OK	 
GROUP	1	PRL_CitizenC100_070_WrittenAgreement	1670951819698	1670951819854	150	OK
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt	1670951819854	1670951819896	OK	 
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt Redirect 1	1670951819897	1670951819938	OK	 
GROUP	1	PRL_CitizenC100_080_BeforeCourt	1670951819854	1670951820042	182	OK
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement	1670951820043	1670951820083	OK	 
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement Redirect 1	1670951820085	1670951820153	OK	 
GROUP	1	PRL_CitizenC100_090_ReachAgreement	1670951820042	1670951820268	218	OK
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep	1670951820271	1670951820308	OK	 
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep Redirect 1	1670951820309	1670951820371	OK	 
GROUP	1	PRL_CitizenC100_100_LegalRep	1670951820268	1670951820477	200	OK
REQUEST	1	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt	1670951820478	1670951820516	OK	 
REQUEST	1	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt Redirect 1	1670951820517	1670951820558	OK	 
GROUP	1	PRL_CitizenC100_110_PermissionFromCourt	1670951820477	1670951820663	180	OK
REQUEST	1	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt	1670951820664	1670951820701	OK	 
REQUEST	1	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt Redirect 1	1670951820701	1670951820744	OK	 
GROUP	1	PRL_CitizenC100_120_WhyPermissionFromCourt	1670951820663	1670951820821	151	OK
REQUEST	1	PRL_CitizenC100_130_WhyCourtShouldGrant	PRL_CitizenC100_130_005_WhyCourtShouldGrant	1670951820821	1670951820895	OK	 
REQUEST	1	PRL_CitizenC100_130_WhyCourtShouldGrant	PRL_CitizenC100_130_005_WhyCourtShouldGrant Redirect 1	1670951820896	1670951820981	OK	 
GROUP	1	PRL_CitizenC100_130_WhyCourtShouldGrant	1670951820821	1670951821058	232	OK
REQUEST	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	PRL_CitizenC100_140_005_InvolvedInEmergencyProtection	1670951821059	1670951821131	OK	 
REQUEST	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	PRL_CitizenC100_140_005_InvolvedInEmergencyProtection Redirect 1	1670951821134	1670951821172	OK	 
GROUP	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	1670951821058	1670951821238	171	OK
REQUEST	1	PRL_CitizenC100_150_AttendingMIAM	PRL_CitizenC100_150_005_AttendingMIAM	1670951821239	1670951821315	OK	 
REQUEST	1	PRL_CitizenC100_150_AttendingMIAM	PRL_CitizenC100_150_005_AttendingMIAM Redirect 1	1670951821316	1670951821370	OK	 
GROUP	1	PRL_CitizenC100_150_AttendingMIAM	1670951821238	1670951821457	214	OK
REQUEST	1	PRL_CitizenC100_160_AttendedMIAM	PRL_CitizenC100_160_005_AttendedMIAM	1670951821458	1670951821491	OK	 
REQUEST	1	PRL_CitizenC100_160_AttendedMIAM	PRL_CitizenC100_160_005_AttendedMIAM Redirect 1	1670951821494	1670951821584	OK	 
GROUP	1	PRL_CitizenC100_160_AttendedMIAM	1670951821457	1670951821703	234	OK
REQUEST	1	PRL_CitizenC100_170_DocumentSigned	PRL_CitizenC100_170_005_DocumentSigned	1670951821704	1670951821742	OK	 
REQUEST	1	PRL_CitizenC100_170_DocumentSigned	PRL_CitizenC100_170_005_DocumentSigned Redirect 1	1670951821742	1670951821784	OK	 
GROUP	1	PRL_CitizenC100_170_DocumentSigned	1670951821703	1670951821851	138	OK
REQUEST	1	PRL_CitizenC100_180_MIAMUpload	PRL_CitizenC100_180_005_MIAMUpload	1670951821888	1670951851917	KO	substring(applicant__miam_certificate).find.exists, found nothing
GROUP	1	PRL_CitizenC100_180_MIAMUpload	1670951821851	1670951851931	30029	KO
USER	***** Private Law Create Case *****	1	END	1670951798559	1670951851939
