ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	simulations.XUI_Simulation	xui-simulation	1670951606673	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1670951607573	1670951607573
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome	1670951607608	1670951607741	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 1	1670951607762	1670951607852	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 2	1670951607853	1670951608074	OK	 
GROUP	1	PRL_CitizenC100_010_PRLHome	1670951607582	1670951608986	1233	OK
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login	1670951608990	1670951609801	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 1	1670951609804	1670951610391	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 2	1670951610393	1670951614217	OK	 
GROUP	1	PRL_CitizenC100_020_Login	1670951608986	1670951614858	5843	OK
REQUEST	1	PRL_CitizenC100_030_StartApplication	PRL_CitizenC100_030_005_StartApplication	1670951614860	1670951614954	OK	 
GROUP	1	PRL_CitizenC100_030_StartApplication	1670951614858	1670951615095	211	OK
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed	1670951615097	1670951623632	OK	 
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed Redirect 1	1670951623634	1670951623699	OK	 
GROUP	1	PRL_CitizenC100_040_WhatYouWillNeed	1670951615095	1670951623846	8727	OK
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName	1670951623847	1670951623900	OK	 
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName Redirect 1	1670951623902	1670951624437	OK	 
GROUP	1	PRL_CitizenC100_050_CaseName	1670951623846	1670951624514	659	OK
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode	1670951624515	1670951624565	OK	 
