ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	simulations.XUI_Simulation	xui-simulation	1671023414685	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1671023416031	1671023416031
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome	1671023416166	1671023416279	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 1	1671023416331	1671023416414	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 2	1671023416417	1671023416550	OK	 
GROUP	1	PRL_CitizenC100_010_PRLHome	1671023416090	1671023417200	685	OK
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login	1671023417205	1671023417840	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 1	1671023417844	1671023418348	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 2	1671023418352	1671023421935	OK	 
GROUP	1	PRL_CitizenC100_020_Login	1671023417201	1671023422217	4968	OK
REQUEST	1	PRL_CitizenC100_030_StartApplication	PRL_CitizenC100_030_005_StartApplication	1671023422224	1671023422325	OK	 
GROUP	1	PRL_CitizenC100_030_StartApplication	1671023422219	1671023422528	276	OK
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed	1671023422528	1671023430435	OK	 
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed Redirect 1	1671023430438	1671023430501	OK	 
GROUP	1	PRL_CitizenC100_040_WhatYouWillNeed	1671023422528	1671023430598	8036	OK
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName	1671023430599	1671023430647	OK	 
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName Redirect 1	1671023430649	1671023430714	OK	 
GROUP	1	PRL_CitizenC100_050_CaseName	1671023430598	1671023430869	263	OK
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode	1671023430871	1671023430923	OK	 
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode Redirect 1	1671023430924	1671023430990	OK	 
GROUP	1	PRL_CitizenC100_060_ChildrenPostCode	1671023430869	1671023431165	289	OK
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement	1671023431166	1671023431197	OK	 
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement Redirect 1	1671023431198	1671023431282	OK	 
GROUP	1	PRL_CitizenC100_070_WrittenAgreement	1671023431165	1671023431351	180	OK
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt	1671023431353	1671023431392	OK	 
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt Redirect 1	1671023431393	1671023431478	OK	 
GROUP	1	PRL_CitizenC100_080_BeforeCourt	1671023431351	1671023431544	180	OK
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement	1671023431545	1671023431577	OK	 
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement Redirect 1	1671023431578	1671023431658	OK	 
GROUP	1	PRL_CitizenC100_090_ReachAgreement	1671023431544	1671023431780	219	OK
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep	1671023431787	1671023431821	OK	 
