ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	simulations.XUI_Simulation	xui-simulation	1670405563137	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1670405564235	1670405564235
REQUEST	1	XUI_010_Homepage	XUI_010_005_Homepage	1670405564256	1670405564814	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_ConfigurationUI	1670405574135	1670405574194	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_ConfigJson	1670405574199	1670405574249	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_TsAndCs	1670405574251	1670405574308	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_ConfigUI	1670405574311	1670405574360	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_UserDetails	1670405574361	1670405574410	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_IsAuthenticated	1670405574412	1670405574482	OK	 
REQUEST	1	XUI_010_Homepage	XUI_010_010_AuthLogin	1670405574496	1670405574543	OK	 
REQUEST	1	XUI_010_Homepage	XUI_010_010_AuthLogin Redirect 1	1670405574556	1670405574679	OK	 
REQUEST	1	XUI_010_Homepage	XUI_010_010_AuthLogin Redirect 2	1670405574683	1670405574774	OK	 
GROUP	1	XUI_010_Homepage	1670405564244	1670405576135	11652	OK
REQUEST	1	XUI_020_Login	XUI_020_005_Login	1670405576166	1670405576519	OK	 
REQUEST	1	XUI_020_Login	XUI_020_005_Login Redirect 1	1670405576526	1670405576986	OK	 
REQUEST	1	XUI_020_Login	XUI_020_005_Login Redirect 2	1670405576997	1670405577084	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ConfigurationUI	1670405587679	1670405587724	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ConfigJson	1670405587731	1670405587753	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_TsAndCs	1670405587754	1670405587801	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ConfigUI	1670405587805	1670405587877	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_UserDetails	1670405587879	1670405588255	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_IsAuthenticated	1670405588259	1670405588325	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_MonitoringTools	1670405588328	1670405588388	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ActivityOptions	1670405588452	1670405588805	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ActivityGet	1670405588830	1670405589740	OK	 
REQUEST	1	XUI_020_Login	XUI_020_010_Jurisdictions	1670405589759	1670405591208	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_OrgDetails	1670405591225	1670405592088	OK	 
REQUEST	1	XUI_020_Login	XUI_020_015_WorkBasketInputs	1670405592104	1670405592926	OK	 
REQUEST	1	XUI_020_Login	XUI_020_020_SearchCases	1670405592941	1670405596604	OK	 
GROUP	1	XUI_020_Login	1670405576135	1670405596609	20231	OK
REQUEST	1	XUI_PRL_030_SelectCase	XUI_PRL_030_005_SelectCase	1670405596638	1670405599805	OK	 
REQUEST	1	XUI_PRL_030_SelectCase	XUI_Common_000_UserDetails	1670405599813	1670405599893	OK	 
GROUP	1	XUI_PRL_030_SelectCase	1670405596612	1670405599900	3247	OK
REQUEST	1	XUI_PRL_040_SelectIssue	XUI_PRL_040_005_SelectIssue	1670405599901	1670405601812	OK	 
REQUEST	1	XUI_PRL_040_SelectIssue	XUI_Common_000_UserDetails	1670405601830	1670405601878	OK	 
GROUP	1	XUI_PRL_040_SelectIssue	1670405599900	1670405601879	1959	OK
REQUEST	1	XUI_PRL_050_LocalCourt	XUI_PRL_050_005_LocalCourt	1670405601880	1670405602705	OK	 
REQUEST	1	XUI_PRL_050_LocalCourt	XUI_Common_000_UserDetails	1670405602712	1670405602761	OK	 
GROUP	1	XUI_PRL_050_LocalCourt	1670405601879	1670405602763	874	OK
REQUEST	1	XUI_PRL_060_LocalCourtSubmit	XUI_PRL_060_005_LocalCourtSubmit	1670405602765	1670405611570	OK	 
REQUEST	1	XUI_PRL_060_LocalCourtSubmit	XUI_Common_000_UserDetails	1670405611574	1670405611679	OK	 
GROUP	1	XUI_PRL_060_LocalCourtSubmit	1670405602763	1670405611685	8910	OK
REQUEST	1	XUI_PRL_070_SendToGateKeeper	XUI_PRL_070_005_SendToGateKeeper	1670405611693	1670405612366	OK	 
REQUEST	1	XUI_PRL_070_SendToGateKeeper	XUI_Common_000_UserDetails	1670405612384	1670405612523	OK	 
GROUP	1	XUI_PRL_070_SendToGateKeeper	1670405611685	1670405612525	812	OK
REQUEST	1	XUI_PRL_080_AddGateKeeper	XUI_PRL_080_005_AddGateKeeper	1670405612527	1670405613066	OK	 
GROUP	1	XUI_PRL_080_AddGateKeeper	1670405612525	1670405613069	539	OK
REQUEST	1	XUI_PRL_090_GateKeeperSubmit	XUI_PRL_090_005_GateKeeperSubmit	1670405613073	1670405614231	KO	substring(GATE_KEEPING).find.exists, found nothing
GROUP	1	XUI_PRL_090_GateKeeperSubmit	1670405613069	1670405614260	1158	KO
USER	***** Private Law Create Case *****	1	END	1670405564235	1670405614274
