ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	simulations.XUI_Simulation	xui-simulation	1673380369440	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1673380370380	1673380370380
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome	1673380370423	1673380370708	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 1	1673380370724	1673380370780	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 2	1673380370781	1673380370878	OK	 
GROUP	1	PRL_CitizenC100_010_PRLHome	1673380370391	1673380371210	651	OK
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login	1673380371215	1673380371746	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 1	1673380371749	1673380372155	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 2	1673380372156	1673380377276	OK	 
GROUP	1	PRL_CitizenC100_020_Login	1673380371210	1673380377445	6207	OK
REQUEST	1	PRL_CitizenC100_030_StartApplication	PRL_CitizenC100_030_005_StartApplication	1673380377446	1673380377564	OK	 
GROUP	1	PRL_CitizenC100_030_StartApplication	1673380377445	1673380377669	203	OK
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed	1673380377671	1673380391817	OK	 
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed Redirect 1	1673380391820	1673380391863	OK	 
GROUP	1	PRL_CitizenC100_040_WhatYouWillNeed	1673380377670	1673380391931	14234	OK
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName	1673380391932	1673380391978	OK	 
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName Redirect 1	1673380391980	1673380392027	OK	 
GROUP	1	PRL_CitizenC100_050_CaseName	1673380391931	1673380392072	133	OK
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode	1673380392074	1673380392123	OK	 
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode Redirect 1	1673380392125	1673380392164	OK	 
GROUP	1	PRL_CitizenC100_060_ChildrenPostCode	1673380392072	1673380392207	126	OK
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement	1673380392208	1673380392269	OK	 
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement Redirect 1	1673380392269	1673380392305	OK	 
GROUP	1	PRL_CitizenC100_070_WrittenAgreement	1673380392207	1673380392409	197	OK
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt	1673380392410	1673380392453	OK	 
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt Redirect 1	1673380392453	1673380392507	OK	 
GROUP	1	PRL_CitizenC100_080_BeforeCourt	1673380392409	1673380392551	131	OK
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement	1673380392552	1673380392594	OK	 
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement Redirect 1	1673380392595	1673380392649	OK	 
GROUP	1	PRL_CitizenC100_090_ReachAgreement	1673380392551	1673380392700	143	OK
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep	1673380392702	1673380392733	OK	 
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep Redirect 1	1673380392735	1673380392774	OK	 
GROUP	1	PRL_CitizenC100_100_LegalRep	1673380392700	1673380392819	111	OK
REQUEST	1	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt	1673380392821	1673380392861	OK	 
REQUEST	1	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt Redirect 1	1673380392863	1673380392899	OK	 
GROUP	1	PRL_CitizenC100_110_PermissionFromCourt	1673380392819	1673380392942	116	OK
REQUEST	1	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt	1673380392943	1673380392976	OK	 
REQUEST	1	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt Redirect 1	1673380392976	1673380393019	OK	 
GROUP	1	PRL_CitizenC100_120_WhyPermissionFromCourt	1673380392942	1673380393063	117	OK
REQUEST	1	PRL_CitizenC100_130_WhyCourtShouldGrant	PRL_CitizenC100_130_005_WhyCourtShouldGrant	1673380393064	1673380393098	OK	 
REQUEST	1	PRL_CitizenC100_130_WhyCourtShouldGrant	PRL_CitizenC100_130_005_WhyCourtShouldGrant Redirect 1	1673380393100	1673380393146	OK	 
GROUP	1	PRL_CitizenC100_130_WhyCourtShouldGrant	1673380393063	1673380393197	118	OK
REQUEST	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	PRL_CitizenC100_140_005_InvolvedInEmergencyProtection	1673380393199	1673380393233	OK	 
REQUEST	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	PRL_CitizenC100_140_005_InvolvedInEmergencyProtection Redirect 1	1673380393234	1673380393316	OK	 
GROUP	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	1673380393197	1673380393357	150	OK
REQUEST	1	PRL_CitizenC100_150_AttendingMIAM	PRL_CitizenC100_150_005_AttendingMIAM	1673380393359	1673380393396	OK	 
REQUEST	1	PRL_CitizenC100_150_AttendingMIAM	PRL_CitizenC100_150_005_AttendingMIAM Redirect 1	1673380393397	1673380393457	OK	 
GROUP	1	PRL_CitizenC100_150_AttendingMIAM	1673380393357	1673380393565	203	OK
REQUEST	1	PRL_CitizenC100_160_AttendedMIAM	PRL_CitizenC100_160_005_AttendedMIAM	1673380393566	1673380393609	OK	 
REQUEST	1	PRL_CitizenC100_160_AttendedMIAM	PRL_CitizenC100_160_005_AttendedMIAM Redirect 1	1673380393610	1673380393649	OK	 
GROUP	1	PRL_CitizenC100_160_AttendedMIAM	1673380393565	1673380393690	120	OK
REQUEST	1	PRL_CitizenC100_170_DocumentSigned	PRL_CitizenC100_170_005_DocumentSigned	1673380393691	1673380393719	OK	 
REQUEST	1	PRL_CitizenC100_170_DocumentSigned	PRL_CitizenC100_170_005_DocumentSigned Redirect 1	1673380393720	1673380393764	OK	 
GROUP	1	PRL_CitizenC100_170_DocumentSigned	1673380393690	1673380393809	108	OK
REQUEST	1	PRL_CitizenC100_180_MIAMUpload	PRL_CitizenC100_180_005_MIAMUpload	1673380393845	1673380395299	OK	 
REQUEST	1	PRL_CitizenC100_180_MIAMUpload	PRL_CitizenC100_180_005_MIAMUpload Redirect 1	1673380395303	1673380395345	OK	 
GROUP	1	PRL_CitizenC100_180_MIAMUpload	1673380393809	1673380395400	1546	OK
REQUEST	1	PRL_CitizenC100_190_MIAMUploadSubmit	PRL_CitizenC100_190_005_MIAMUploadSubmit	1673380395404	1673380395819	OK	 
REQUEST	1	PRL_CitizenC100_190_MIAMUploadSubmit	PRL_CitizenC100_190_005_MIAMUploadSubmit Redirect 1	1673380395821	1673380395864	OK	 
REQUEST	1	PRL_CitizenC100_190_MIAMUploadSubmit	PRL_CitizenC100_190_005_MIAMUploadSubmit Redirect 2	1673380395867	1673380395914	OK	 
GROUP	1	PRL_CitizenC100_190_MIAMUploadSubmit	1673380395400	1673380396011	594	OK
REQUEST	1	PRL_CitizenC100_200_MIAMUploadContinue	PRL_CitizenC100_200_005_MIAMUploadContinue	1673380396013	1673380396044	OK	 
REQUEST	1	PRL_CitizenC100_200_MIAMUploadContinue	PRL_CitizenC100_200_005_MIAMUploadContinue Redirect 1	1673380396045	1673380396095	OK	 
GROUP	1	PRL_CitizenC100_200_MIAMUploadContinue	1673380396012	1673380396145	125	OK
REQUEST	1	PRL_CitizenC100_210_AskingCourtToDo	PRL_CitizenC100_210_005_AskingCourtToDo	1673380396146	1673380396176	OK	 
REQUEST	1	PRL_CitizenC100_210_AskingCourtToDo	PRL_CitizenC100_210_005_AskingCourtToDo Redirect 1	1673380396177	1673380396217	OK	 
GROUP	1	PRL_CitizenC100_210_AskingCourtToDo	1673380396145	1673380396258	105	OK
REQUEST	1	PRL_CitizenC100_220_WouldLikeCourtTo	PRL_CitizenC100_220_005_WouldLikeCourtTo	1673380396259	1673380396299	OK	 
REQUEST	1	PRL_CitizenC100_220_WouldLikeCourtTo	PRL_CitizenC100_220_005_WouldLikeCourtTo Redirect 1	1673380396300	1673380396337	OK	 
GROUP	1	PRL_CitizenC100_220_WouldLikeCourtTo	1673380396258	1673380396378	113	OK
REQUEST	1	PRL_CitizenC100_230_DescribeWhatCourt	PRL_CitizenC100_230_005_DescribeWhatCourt	1673380396379	1673380396408	OK	 
REQUEST	1	PRL_CitizenC100_230_DescribeWhatCourt	PRL_CitizenC100_230_005_DescribeWhatCourt Redirect 1	1673380396408	1673380396452	OK	 
GROUP	1	PRL_CitizenC100_230_DescribeWhatCourt	1673380396378	1673380396494	109	OK
REQUEST	1	PRL_CitizenC100_240_UrgentFirstHearing	PRL_CitizenC100_240_005_UrgentFirstHearing	1673380396494	1673380396523	OK	 
REQUEST	1	PRL_CitizenC100_240_UrgentFirstHearing	PRL_CitizenC100_240_005_UrgentFirstHearing Redirect 1	1673380396524	1673380396565	OK	 
GROUP	1	PRL_CitizenC100_240_UrgentFirstHearing	1673380396494	1673380396604	103	OK
REQUEST	1	PRL_CitizenC100_250_UrgentHearingDetails	PRL_CitizenC100_250_005_UrgentHearingDetails	1673380396606	1673380396642	OK	 
REQUEST	1	PRL_CitizenC100_250_UrgentHearingDetails	PRL_CitizenC100_250_005_UrgentHearingDetails Redirect 1	1673380396643	1673380396704	OK	 
GROUP	1	PRL_CitizenC100_250_UrgentHearingDetails	1673380396604	1673380396741	131	OK
REQUEST	1	PRL_CitizenC100_260_AskingForWithoutNotice	PRL_CitizenC100_260_005_AskingForWithoutNotice	1673380396744	1673380396774	OK	 
REQUEST	1	PRL_CitizenC100_260_AskingForWithoutNotice	PRL_CitizenC100_260_005_AskingForWithoutNotice Redirect 1	1673380396775	1673380396813	OK	 
GROUP	1	PRL_CitizenC100_260_AskingForWithoutNotice	1673380396741	1673380396849	101	OK
REQUEST	1	PRL_CitizenC100_270_WithoutNoticeDetails	PRL_CitizenC100_270_005_WithoutNoticeDetails	1673380396850	1673380396886	OK	 
REQUEST	1	PRL_CitizenC100_270_WithoutNoticeDetails	PRL_CitizenC100_270_005_WithoutNoticeDetails Redirect 1	1673380396887	1673380396936	OK	 
GROUP	1	PRL_CitizenC100_270_WithoutNoticeDetails	1673380396850	1673380396970	117	OK
REQUEST	1	PRL_CitizenC100_280_ChildrenName	PRL_CitizenC100_280_005_ChildrenName	1673380396970	1673380396999	OK	 
GROUP	1	PRL_CitizenC100_280_ChildrenName	1673380396970	1673380397008	29	OK
REQUEST	1	PRL_CitizenC100_290_ChildDetails	PRL_CitizenC100_290_005_ChildDetails	1673380397009	1673380397044	OK	 
REQUEST	1	PRL_CitizenC100_290_ChildDetails	PRL_CitizenC100_290_005_ChildDetails Redirect 1	1673380397045	1673380397087	OK	 
GROUP	1	PRL_CitizenC100_290_ChildDetails	1673380397008	1673380397123	109	OK
REQUEST	1	PRL_CitizenC100_300_WhichDecision	PRL_CitizenC100_300_005_WhichDecision	1673380397124	1673380397159	OK	 
REQUEST	1	PRL_CitizenC100_300_WhichDecision	PRL_CitizenC100_300_005_WhichDecision Redirect 1	1673380397160	1673380397195	OK	 
GROUP	1	PRL_CitizenC100_300_WhichDecision	1673380397123	1673380397231	102	OK
REQUEST	1	PRL_CitizenC100_310_ParentalResponsibility	PRL_CitizenC100_310_005_ParentalResponsibility	1673380397232	1673380397266	OK	 
REQUEST	1	PRL_CitizenC100_310_ParentalResponsibility	PRL_CitizenC100_310_005_ParentalResponsibility Redirect 1	1673380397268	1673380397306	OK	 
GROUP	1	PRL_CitizenC100_310_ParentalResponsibility	1673380397231	1673380397337	100	OK
REQUEST	1	PRL_CitizenC100_320_FurtherInformation	PRL_CitizenC100_320_005_FurtherInformation	1673380397338	1673380397374	OK	 
REQUEST	1	PRL_CitizenC100_320_FurtherInformation	PRL_CitizenC100_320_005_FurtherInformation Redirect 1	1673380397375	1673380397412	OK	 
GROUP	1	PRL_CitizenC100_320_FurtherInformation	1673380397337	1673380397459	115	OK
REQUEST	1	PRL_CitizenC100_330_OtherChildren	PRL_CitizenC100_330_005_OtherChildren	1673380397460	1673380397491	OK	 
REQUEST	1	PRL_CitizenC100_330_OtherChildren	PRL_CitizenC100_330_005_OtherChildren Redirect 1	1673380397492	1673380397529	OK	 
GROUP	1	PRL_CitizenC100_330_OtherChildren	1673380397459	1673380397578	106	OK
REQUEST	1	PRL_CitizenC100_340_EnterYourName	PRL_CitizenC100_340_005_EnterYourName	1673380397582	1673380397613	OK	 
GROUP	1	PRL_CitizenC100_340_EnterYourName	1673380397579	1673380397614	31	OK
REQUEST	1	PRL_CitizenC100_350_KnowContactDetails	PRL_CitizenC100_350_005_KnowContactDetails	1673380397616	1673380397650	OK	 
REQUEST	1	PRL_CitizenC100_350_KnowContactDetails	PRL_CitizenC100_350_005_KnowContactDetails Redirect 1	1673380397651	1673380397726	OK	 
GROUP	1	PRL_CitizenC100_350_KnowContactDetails	1673380397614	1673380397766	143	OK
REQUEST	1	PRL_CitizenC100_360_KeepDetailsPrivate	PRL_CitizenC100_360_005_KeepDetailsPrivate	1673380397767	1673380397802	OK	 
