ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	simulations.XUI_Simulation	xui-simulation	1672915968126	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1672915968995	1672915968995
REQUEST	1	PRL_CitizenC100_160_AttendedMIAM	PRL_CitizenC100_160_005_AttendedMIAM Redirect 1	1672915999009	1672915999044	OK	 
GROUP	1	PRL_CitizenC100_160_AttendedMIAM	1672915998975	1672915999133	153	OK
REQUEST	1	PRL_CitizenC100_170_DocumentSigned	PRL_CitizenC100_170_005_DocumentSigned	1672915999134	1672915999171	OK	 
REQUEST	1	PRL_CitizenC100_170_DocumentSigned	PRL_CitizenC100_170_005_DocumentSigned Redirect 1	1672915999172	1672915999228	OK	 
GROUP	1	PRL_CitizenC100_170_DocumentSigned	1672915999133	1672915999294	146	OK
REQUEST	1	PRL_CitizenC100_180_MIAMUpload	PRL_CitizenC100_180_005_MIAMUpload	1672915999335	1672916001671	OK	 
REQUEST	1	PRL_CitizenC100_180_MIAMUpload	PRL_CitizenC100_180_005_MIAMUpload Redirect 1	1672916001675	1672916001718	OK	 
GROUP	1	PRL_CitizenC100_180_MIAMUpload	1672915999294	1672916001782	2438	OK
REQUEST	1	PRL_CitizenC100_200_MIAMUploadContinue	PRL_CitizenC100_200_005_MIAMUploadContinue	1672916001783	1672916001819	OK	 
REQUEST	1	PRL_CitizenC100_200_MIAMUploadContinue	PRL_CitizenC100_200_005_MIAMUploadContinue Redirect 1	1672916001821	1672916001873	OK	 
GROUP	1	PRL_CitizenC100_200_MIAMUploadContinue	1672916001782	1672916001980	188	OK
REQUEST	1	PRL_CitizenC100_210_AskingCourtToDo	PRL_CitizenC100_210_005_AskingCourtToDo	1672916001981	1672916002016	OK	 
REQUEST	1	PRL_CitizenC100_210_AskingCourtToDo	PRL_CitizenC100_210_005_AskingCourtToDo Redirect 1	1672916002017	1672916002064	OK	 
GROUP	1	PRL_CitizenC100_210_AskingCourtToDo	1672916001980	1672916002127	142	OK
REQUEST	1	PRL_CitizenC100_220_WouldLikeCourtTo	PRL_CitizenC100_220_005_WouldLikeCourtTo	1672916002130	1672916002164	OK	 
REQUEST	1	PRL_CitizenC100_220_WouldLikeCourtTo	PRL_CitizenC100_220_005_WouldLikeCourtTo Redirect 1	1672916002164	1672916002212	OK	 
GROUP	1	PRL_CitizenC100_220_WouldLikeCourtTo	1672916002127	1672916002278	143	OK
REQUEST	1	PRL_CitizenC100_230_DescribeWhatCourt	PRL_CitizenC100_230_005_DescribeWhatCourt	1672916002278	1672916002315	OK	 
REQUEST	1	PRL_CitizenC100_230_DescribeWhatCourt	PRL_CitizenC100_230_005_DescribeWhatCourt Redirect 1	1672916002315	1672916002354	OK	 
GROUP	1	PRL_CitizenC100_230_DescribeWhatCourt	1672916002278	1672916002444	163	OK
REQUEST	1	PRL_CitizenC100_240_UrgentFirstHearing	PRL_CitizenC100_240_005_UrgentFirstHearing	1672916002445	1672916002478	OK	 
REQUEST	1	PRL_CitizenC100_240_UrgentFirstHearing	PRL_CitizenC100_240_005_UrgentFirstHearing Redirect 1	1672916002479	1672916002523	OK	 
GROUP	1	PRL_CitizenC100_240_UrgentFirstHearing	1672916002444	1672916002594	140	OK
REQUEST	1	PRL_CitizenC100_250_UrgentHearingDetails	PRL_CitizenC100_250_005_UrgentHearingDetails	1672916002594	1672916002629	OK	 
REQUEST	1	PRL_CitizenC100_250_UrgentHearingDetails	PRL_CitizenC100_250_005_UrgentHearingDetails Redirect 1	1672916002630	1672916002671	OK	 
GROUP	1	PRL_CitizenC100_250_UrgentHearingDetails	1672916002594	1672916002729	130	OK
REQUEST	1	PRL_CitizenC100_260_AskingForWithoutNotice	PRL_CitizenC100_260_005_AskingForWithoutNotice	1672916002730	1672916002762	OK	 
REQUEST	1	PRL_CitizenC100_260_AskingForWithoutNotice	PRL_CitizenC100_260_005_AskingForWithoutNotice Redirect 1	1672916002763	1672916002803	OK	 
GROUP	1	PRL_CitizenC100_260_AskingForWithoutNotice	1672916002729	1672916002916	181	OK
REQUEST	1	PRL_CitizenC100_270_WithoutNoticeDetails	PRL_CitizenC100_270_005_WithoutNoticeDetails	1672916002918	1672916002958	OK	 
REQUEST	1	PRL_CitizenC100_270_WithoutNoticeDetails	PRL_CitizenC100_270_005_WithoutNoticeDetails Redirect 1	1672916002958	1672916003025	OK	 
GROUP	1	PRL_CitizenC100_270_WithoutNoticeDetails	1672916002916	1672916003084	161	OK
REQUEST	1	PRL_CitizenC100_280_ChildrenName	PRL_CitizenC100_280_005_ChildrenName	1672916003085	1672916003121	KO	substring(Provide details for First Name).find.exists, found nothing
GROUP	1	PRL_CitizenC100_280_ChildrenName	1672916003084	1672916003133	36	KO
USER	***** Private Law Create Case *****	1	END	1672915968995	1672916003145
