ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	simulations.XUI_Simulation	xui-simulation	1678808796270	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1678808797345	1678808797345
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome	1678808797384	1678808797511	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 1	1678808797552	1678808797610	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 2	1678808797613	1678808797689	OK	 
GROUP	1	PRL_CitizenC100_010_PRLHome	1678808797356	1678808798028	467	OK
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login	1678808798037	1678808798410	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 1	1678808798418	1678808798921	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 2	1678808798925	1678808801794	OK	 
GROUP	1	PRL_CitizenC100_020_Login	1678808798028	1678808802061	3993	OK
REQUEST	1	PRL_CitizenC100_030_StartApplication	PRL_CitizenC100_030_005_StartApplication	1678808802062	1678808802103	OK	 
GROUP	1	PRL_CitizenC100_030_StartApplication	1678808802061	1678808802239	159	OK
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed	1678808802240	1678808810533	OK	 
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed Redirect 1	1678808810538	1678808810626	OK	 
GROUP	1	PRL_CitizenC100_040_WhatYouWillNeed	1678808802239	1678808810704	8440	OK
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName	1678808810705	1678808810739	OK	 
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName Redirect 1	1678808810742	1678808810777	OK	 
GROUP	1	PRL_CitizenC100_050_CaseName	1678808810704	1678808810847	129	OK
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode	1678808810850	1678808810884	OK	 
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode Redirect 1	1678808810887	1678808810933	OK	 
GROUP	1	PRL_CitizenC100_060_ChildrenPostCode	1678808810848	1678808811030	163	OK
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement	1678808811031	1678808811061	OK	 
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement Redirect 1	1678808811064	1678808811092	OK	 
GROUP	1	PRL_CitizenC100_070_WrittenAgreement	1678808811030	1678808811179	140	OK
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt	1678808811181	1678808811214	OK	 
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt Redirect 1	1678808811216	1678808811278	OK	 
GROUP	1	PRL_CitizenC100_080_BeforeCourt	1678808811179	1678808811334	142	OK
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement	1678808811337	1678808811372	OK	 
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement Redirect 1	1678808811375	1678808811411	OK	 
GROUP	1	PRL_CitizenC100_090_ReachAgreement	1678808811335	1678808811472	121	OK
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep	1678808811474	1678808811504	OK	 
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep Redirect 1	1678808811506	1678808811558	OK	 
GROUP	1	PRL_CitizenC100_100_LegalRep	1678808811472	1678808811645	164	OK
REQUEST	1	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt	1678808811646	1678808811676	OK	 
REQUEST	1	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt Redirect 1	1678808811678	1678808811711	OK	 
GROUP	1	PRL_CitizenC100_110_PermissionFromCourt	1678808811645	1678808811774	116	OK
REQUEST	1	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt	1678808811775	1678808811808	OK	 
REQUEST	1	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt Redirect 1	1678808811809	1678808811896	OK	 
GROUP	1	PRL_CitizenC100_120_WhyPermissionFromCourt	1678808811774	1678808811952	171	OK
REQUEST	1	PRL_CitizenC100_130_WhyCourtShouldGrant	PRL_CitizenC100_130_005_WhyCourtShouldGrant	1678808811952	1678808811984	OK	 
