ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	simulations.XUI_Simulation	xui-simulation	1678809986936	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1678809988040	1678809988040
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome	1678809988075	1678809988175	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 1	1678809988210	1678809988262	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 2	1678809988266	1678809988350	OK	 
GROUP	1	PRL_CitizenC100_010_PRLHome	1678809988051	1678809988683	442	OK
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login	1678809988692	1678809989064	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 1	1678809989070	1678809989577	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 2	1678809989582	1678809990907	OK	 
GROUP	1	PRL_CitizenC100_020_Login	1678809988683	1678809991058	2335	OK
REQUEST	1	PRL_CitizenC100_030_StartApplication	PRL_CitizenC100_030_005_StartApplication	1678809991059	1678809991123	OK	 
GROUP	1	PRL_CitizenC100_030_StartApplication	1678809991058	1678809991197	119	OK
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed	1678809991198	1678809995609	OK	 
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed Redirect 1	1678809995613	1678809995649	OK	 
GROUP	1	PRL_CitizenC100_040_WhatYouWillNeed	1678809991197	1678809995733	4511	OK
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName	1678809995734	1678809995766	OK	 
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName Redirect 1	1678809995770	1678809995801	OK	 
GROUP	1	PRL_CitizenC100_050_CaseName	1678809995733	1678809995872	120	OK
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode	1678809995875	1678809995927	OK	 
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode Redirect 1	1678809995929	1678809995959	OK	 
GROUP	1	PRL_CitizenC100_060_ChildrenPostCode	1678809995872	1678809996021	138	OK
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement	1678809996022	1678809996052	OK	 
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement Redirect 1	1678809996054	1678809996095	OK	 
GROUP	1	PRL_CitizenC100_070_WrittenAgreement	1678809996022	1678809996162	132	OK
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt	1678809996163	1678809996193	OK	 
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt Redirect 1	1678809996195	1678809996246	OK	 
GROUP	1	PRL_CitizenC100_080_BeforeCourt	1678809996162	1678809996309	136	OK
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement	1678809996311	1678809996341	OK	 
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement Redirect 1	1678809996343	1678809996372	OK	 
GROUP	1	PRL_CitizenC100_090_ReachAgreement	1678809996309	1678809996428	105	OK
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep	1678809996430	1678809996473	OK	 
