ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	simulations.XUI_Simulation	xui-simulation	1672916118365	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1672916119237	1672916119237
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome	1672916119271	1672916119367	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 1	1672916119388	1672916119424	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 2	1672916119425	1672916119530	OK	 
GROUP	1	PRL_CitizenC100_010_PRLHome	1672916119246	1672916119962	542	OK
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login	1672916119969	1672916120620	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 1	1672916120624	1672916121071	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 2	1672916121075	1672916126599	OK	 
GROUP	1	PRL_CitizenC100_020_Login	1672916119962	1672916126799	6803	OK
REQUEST	1	PRL_CitizenC100_030_StartApplication	PRL_CitizenC100_030_005_StartApplication	1672916126801	1672916126936	OK	 
GROUP	1	PRL_CitizenC100_030_StartApplication	1672916126799	1672916127071	250	OK
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed	1672916127073	1672916141649	OK	 
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed Redirect 1	1672916141652	1672916141737	OK	 
GROUP	1	PRL_CitizenC100_040_WhatYouWillNeed	1672916127072	1672916141828	14726	OK
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName	1672916141829	1672916141919	OK	 
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName Redirect 1	1672916141921	1672916141969	OK	 
GROUP	1	PRL_CitizenC100_050_CaseName	1672916141829	1672916142034	198	OK
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode	1672916142036	1672916142082	OK	 
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode Redirect 1	1672916142083	1672916142179	OK	 
GROUP	1	PRL_CitizenC100_060_ChildrenPostCode	1672916142035	1672916142240	198	OK
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement	1672916142241	1672916142296	OK	 
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement Redirect 1	1672916142296	1672916142333	OK	 
GROUP	1	PRL_CitizenC100_070_WrittenAgreement	1672916142240	1672916142395	151	OK
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt	1672916142396	1672916142427	OK	 
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt Redirect 1	1672916142428	1672916142497	OK	 
GROUP	1	PRL_CitizenC100_080_BeforeCourt	1672916142395	1672916142582	180	OK
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement	1672916142583	1672916142627	OK	 
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement Redirect 1	1672916142628	1672916142694	OK	 
GROUP	1	PRL_CitizenC100_090_ReachAgreement	1672916142582	1672916142766	177	OK
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep	1672916142767	1672916142799	OK	 
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep Redirect 1	1672916142799	1672916142857	OK	 
GROUP	1	PRL_CitizenC100_100_LegalRep	1672916142766	1672916142920	148	OK
REQUEST	1	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt	1672916142921	1672916142954	OK	 
REQUEST	1	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt Redirect 1	1672916142955	1672916143020	OK	 
GROUP	1	PRL_CitizenC100_110_PermissionFromCourt	1672916142920	1672916143084	160	OK
REQUEST	1	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt	1672916143085	1672916143117	OK	 
REQUEST	1	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt Redirect 1	1672916143117	1672916143160	OK	 
GROUP	1	PRL_CitizenC100_120_WhyPermissionFromCourt	1672916143084	1672916143233	142	OK
REQUEST	1	PRL_CitizenC100_130_WhyCourtShouldGrant	PRL_CitizenC100_130_005_WhyCourtShouldGrant	1672916143233	1672916143264	OK	 
REQUEST	1	PRL_CitizenC100_130_WhyCourtShouldGrant	PRL_CitizenC100_130_005_WhyCourtShouldGrant Redirect 1	1672916143265	1672916143330	OK	 
GROUP	1	PRL_CitizenC100_130_WhyCourtShouldGrant	1672916143233	1672916143391	154	OK
REQUEST	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	PRL_CitizenC100_140_005_InvolvedInEmergencyProtection	1672916143392	1672916143423	OK	 
REQUEST	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	PRL_CitizenC100_140_005_InvolvedInEmergencyProtection Redirect 1	1672916143426	1672916143471	OK	 
GROUP	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	1672916143391	1672916143611	213	OK
REQUEST	1	PRL_CitizenC100_150_AttendingMIAM	PRL_CitizenC100_150_005_AttendingMIAM	1672916143613	1672916143648	OK	 
REQUEST	1	PRL_CitizenC100_150_AttendingMIAM	PRL_CitizenC100_150_005_AttendingMIAM Redirect 1	1672916143649	1672916143712	OK	 
GROUP	1	PRL_CitizenC100_150_AttendingMIAM	1672916143612	1672916143783	166	OK
REQUEST	1	PRL_CitizenC100_160_AttendedMIAM	PRL_CitizenC100_160_005_AttendedMIAM	1672916143784	1672916143817	OK	 
REQUEST	1	PRL_CitizenC100_160_AttendedMIAM	PRL_CitizenC100_160_005_AttendedMIAM Redirect 1	1672916143819	1672916143862	OK	 
GROUP	1	PRL_CitizenC100_160_AttendedMIAM	1672916143783	1672916143921	131	OK
REQUEST	1	PRL_CitizenC100_170_DocumentSigned	PRL_CitizenC100_170_005_DocumentSigned	1672916143922	1672916143950	OK	 
REQUEST	1	PRL_CitizenC100_170_DocumentSigned	PRL_CitizenC100_170_005_DocumentSigned Redirect 1	1672916143950	1672916144036	OK	 
GROUP	1	PRL_CitizenC100_170_DocumentSigned	1672916143921	1672916144109	174	OK
REQUEST	1	PRL_CitizenC100_180_MIAMUpload	PRL_CitizenC100_180_005_MIAMUpload	1672916144140	1672916146058	OK	 
REQUEST	1	PRL_CitizenC100_180_MIAMUpload	PRL_CitizenC100_180_005_MIAMUpload Redirect 1	1672916146061	1672916146113	OK	 
GROUP	1	PRL_CitizenC100_180_MIAMUpload	1672916144109	1672916146182	2033	OK
REQUEST	1	PRL_CitizenC100_200_MIAMUploadContinue	PRL_CitizenC100_200_005_MIAMUploadContinue	1672916146183	1672916146216	OK	 
REQUEST	1	PRL_CitizenC100_200_MIAMUploadContinue	PRL_CitizenC100_200_005_MIAMUploadContinue Redirect 1	1672916146219	1672916146293	OK	 
GROUP	1	PRL_CitizenC100_200_MIAMUploadContinue	1672916146182	1672916146383	190	OK
REQUEST	1	PRL_CitizenC100_210_AskingCourtToDo	PRL_CitizenC100_210_005_AskingCourtToDo	1672916146385	1672916146424	OK	 
REQUEST	1	PRL_CitizenC100_210_AskingCourtToDo	PRL_CitizenC100_210_005_AskingCourtToDo Redirect 1	1672916146425	1672916146491	OK	 
GROUP	1	PRL_CitizenC100_210_AskingCourtToDo	1672916146384	1672916146550	160	OK
REQUEST	1	PRL_CitizenC100_220_WouldLikeCourtTo	PRL_CitizenC100_220_005_WouldLikeCourtTo	1672916146551	1672916146582	OK	 
REQUEST	1	PRL_CitizenC100_220_WouldLikeCourtTo	PRL_CitizenC100_220_005_WouldLikeCourtTo Redirect 1	1672916146582	1672916146638	OK	 
GROUP	1	PRL_CitizenC100_220_WouldLikeCourtTo	1672916146550	1672916146703	147	OK
REQUEST	1	PRL_CitizenC100_230_DescribeWhatCourt	PRL_CitizenC100_230_005_DescribeWhatCourt	1672916146705	1672916146735	OK	 
REQUEST	1	PRL_CitizenC100_230_DescribeWhatCourt	PRL_CitizenC100_230_005_DescribeWhatCourt Redirect 1	1672916146736	1672916146769	OK	 
GROUP	1	PRL_CitizenC100_230_DescribeWhatCourt	1672916146703	1672916146839	129	OK
REQUEST	1	PRL_CitizenC100_240_UrgentFirstHearing	PRL_CitizenC100_240_005_UrgentFirstHearing	1672916146840	1672916146870	OK	 
REQUEST	1	PRL_CitizenC100_240_UrgentFirstHearing	PRL_CitizenC100_240_005_UrgentFirstHearing Redirect 1	1672916146871	1672916146938	OK	 
GROUP	1	PRL_CitizenC100_240_UrgentFirstHearing	1672916146839	1672916147002	155	OK
REQUEST	1	PRL_CitizenC100_250_UrgentHearingDetails	PRL_CitizenC100_250_005_UrgentHearingDetails	1672916147003	1672916147034	OK	 
REQUEST	1	PRL_CitizenC100_250_UrgentHearingDetails	PRL_CitizenC100_250_005_UrgentHearingDetails Redirect 1	1672916147034	1672916147085	OK	 
GROUP	1	PRL_CitizenC100_250_UrgentHearingDetails	1672916147002	1672916147147	141	OK
REQUEST	1	PRL_CitizenC100_260_AskingForWithoutNotice	PRL_CitizenC100_260_005_AskingForWithoutNotice	1672916147148	1672916147179	OK	 
