ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	simulations.XUI_Simulation	xui-simulation	1679910761592	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1679910762455	1679910762455
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome	1679910762488	1679910762624	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 1	1679910762659	1679910762732	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 2	1679910762734	1679910762844	OK	 
GROUP	1	PRL_CitizenC100_010_PRLHome	1679910762464	1679910763224	586	OK
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login	1679910763232	1679910763603	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 1	1679910763609	1679910764219	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 2	1679910764223	1679910769857	OK	 
GROUP	1	PRL_CitizenC100_020_Login	1679910763224	1679910770037	6775	OK
REQUEST	1	PRL_CitizenC100_030_StartApplication	PRL_CitizenC100_030_005_StartApplication	1679910770038	1679910770216	OK	 
GROUP	1	PRL_CitizenC100_030_StartApplication	1679910770037	1679910770309	251	OK
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed	1679910770311	1679910784293	OK	 
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed Redirect 1	1679910784299	1679910784467	OK	 
GROUP	1	PRL_CitizenC100_040_WhatYouWillNeed	1679910770310	1679910784560	14224	OK
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName	1679910784560	1679910784609	OK	 
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName Redirect 1	1679910784613	1679910784906	OK	 
GROUP	1	PRL_CitizenC100_050_CaseName	1679910784560	1679910784989	414	OK
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode	1679910784993	1679910785056	OK	 
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode Redirect 1	1679910785060	1679910785217	OK	 
GROUP	1	PRL_CitizenC100_060_ChildrenPostCode	1679910784990	1679910785313	300	OK
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement	1679910785315	1679910785362	OK	 
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement Redirect 1	1679910785365	1679910785622	OK	 
GROUP	1	PRL_CitizenC100_070_WrittenAgreement	1679910785313	1679910785799	477	OK
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt	1679910785800	1679910785848	OK	 
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt Redirect 1	1679910785850	1679910785956	OK	 
GROUP	1	PRL_CitizenC100_080_BeforeCourt	1679910785800	1679910786095	284	OK
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement	1679910786096	1679910786144	OK	 
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement Redirect 1	1679910786145	1679910786242	OK	 
GROUP	1	PRL_CitizenC100_090_ReachAgreement	1679910786095	1679910786347	240	OK
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep	1679910786349	1679910786379	OK	 
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep Redirect 1	1679910786382	1679910786420	OK	 
GROUP	1	PRL_CitizenC100_100_LegalRep	1679910786347	1679910786515	158	OK
REQUEST	1	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt	1679910786516	1679910786564	OK	 
REQUEST	1	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt Redirect 1	1679910786566	1679910786659	OK	 
GROUP	1	PRL_CitizenC100_110_PermissionFromCourt	1679910786515	1679910786756	234	OK
REQUEST	1	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt	1679910786758	1679910786790	OK	 
REQUEST	1	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt Redirect 1	1679910786793	1679910786874	OK	 
GROUP	1	PRL_CitizenC100_120_WhyPermissionFromCourt	1679910786757	1679910786942	177	OK
REQUEST	1	PRL_CitizenC100_130_WhyCourtShouldGrant	PRL_CitizenC100_130_005_WhyCourtShouldGrant	1679910786943	1679910786982	OK	 
REQUEST	1	PRL_CitizenC100_130_WhyCourtShouldGrant	PRL_CitizenC100_130_005_WhyCourtShouldGrant Redirect 1	1679910786984	1679910787069	OK	 
GROUP	1	PRL_CitizenC100_130_WhyCourtShouldGrant	1679910786942	1679910787132	183	OK
REQUEST	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	PRL_CitizenC100_140_005_InvolvedInEmergencyProtection	1679910787133	1679910787161	OK	 
REQUEST	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	PRL_CitizenC100_140_005_InvolvedInEmergencyProtection Redirect 1	1679910787162	1679910787259	OK	 
GROUP	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	1679910787132	1679910787359	220	OK
REQUEST	1	PRL_CitizenC100_150_AttendingMIAM	PRL_CitizenC100_150_005_AttendingMIAM	1679910787360	1679910787394	OK	 
REQUEST	1	PRL_CitizenC100_150_AttendingMIAM	PRL_CitizenC100_150_005_AttendingMIAM Redirect 1	1679910787395	1679910787476	OK	 
GROUP	1	PRL_CitizenC100_150_AttendingMIAM	1679910787359	1679910787547	182	OK
REQUEST	1	PRL_CitizenC100_160_AttendedMIAM	PRL_CitizenC100_160_005_AttendedMIAM	1679910787548	1679910787575	OK	 
REQUEST	1	PRL_CitizenC100_160_AttendedMIAM	PRL_CitizenC100_160_005_AttendedMIAM Redirect 1	1679910787576	1679910787656	OK	 
GROUP	1	PRL_CitizenC100_160_AttendedMIAM	1679910787547	1679910787717	166	OK
REQUEST	1	PRL_CitizenC100_170_DocumentSigned	PRL_CitizenC100_170_005_DocumentSigned	1679910787721	1679910787754	OK	 
REQUEST	1	PRL_CitizenC100_170_DocumentSigned	PRL_CitizenC100_170_005_DocumentSigned Redirect 1	1679910787756	1679910787838	OK	 
GROUP	1	PRL_CitizenC100_170_DocumentSigned	1679910787718	1679910787913	172	OK
REQUEST	1	PRL_CitizenC100_180_MIAMUpload	PRL_CitizenC100_180_005_MIAMUpload	1679910787947	1679910789413	OK	 
REQUEST	1	PRL_CitizenC100_180_MIAMUpload	PRL_CitizenC100_180_005_MIAMUpload Redirect 1	1679910789418	1679910789489	OK	 
GROUP	1	PRL_CitizenC100_180_MIAMUpload	1679910787913	1679910789557	1602	OK
REQUEST	1	PRL_CitizenC100_190_MIAMUploadSubmit	PRL_CitizenC100_190_005_MIAMUploadSubmit	1679910789558	1679910790078	OK	 
REQUEST	1	PRL_CitizenC100_190_MIAMUploadSubmit	PRL_CitizenC100_190_005_MIAMUploadSubmit Redirect 1	1679910790081	1679910790161	OK	 
REQUEST	1	PRL_CitizenC100_190_MIAMUploadSubmit	PRL_CitizenC100_190_005_MIAMUploadSubmit Redirect 2	1679910790167	1679910790221	OK	 
GROUP	1	PRL_CitizenC100_190_MIAMUploadSubmit	1679910789557	1679910790393	818	OK
REQUEST	1	PRL_CitizenC100_200_MIAMUploadContinue	PRL_CitizenC100_200_005_MIAMUploadContinue	1679910790395	1679910790425	OK	 
REQUEST	1	PRL_CitizenC100_200_MIAMUploadContinue	PRL_CitizenC100_200_005_MIAMUploadContinue Redirect 1	1679910790426	1679910790491	OK	 
GROUP	1	PRL_CitizenC100_200_MIAMUploadContinue	1679910790394	1679910790604	204	OK
REQUEST	1	PRL_CitizenC100_210_AskingCourtToDo	PRL_CitizenC100_210_005_AskingCourtToDo	1679910790605	1679910790635	OK	 
REQUEST	1	PRL_CitizenC100_210_AskingCourtToDo	PRL_CitizenC100_210_005_AskingCourtToDo Redirect 1	1679910790637	1679910790710	OK	 
GROUP	1	PRL_CitizenC100_210_AskingCourtToDo	1679910790604	1679910790835	223	OK
REQUEST	1	PRL_CitizenC100_220_WouldLikeCourtTo	PRL_CitizenC100_220_005_WouldLikeCourtTo	1679910790836	1679910790870	OK	 
REQUEST	1	PRL_CitizenC100_220_WouldLikeCourtTo	PRL_CitizenC100_220_005_WouldLikeCourtTo Redirect 1	1679910790871	1679910790933	OK	 
GROUP	1	PRL_CitizenC100_220_WouldLikeCourtTo	1679910790835	1679910790997	156	OK
REQUEST	1	PRL_CitizenC100_230_DescribeWhatCourt	PRL_CitizenC100_230_005_DescribeWhatCourt	1679910790999	1679910791026	OK	 
REQUEST	1	PRL_CitizenC100_230_DescribeWhatCourt	PRL_CitizenC100_230_005_DescribeWhatCourt Redirect 1	1679910791029	1679910791096	OK	 
GROUP	1	PRL_CitizenC100_230_DescribeWhatCourt	1679910790998	1679910791158	152	OK
