ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	simulations.XUI_Simulation	xui-simulation	1673440060960	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1673440062611	1673440062611
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome	1673440062663	1673440063263	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 1	1673440063287	1673440063350	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 2	1673440063352	1673440063547	OK	 
GROUP	1	PRL_CitizenC100_010_PRLHome	1673440062625	1673440066673	3681	OK
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login	1673440066682	1673440067198	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 1	1673440067206	1673440067942	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 2	1673440067961	1673440077243	OK	 
GROUP	1	PRL_CitizenC100_020_Login	1673440066673	1673440079390	12641	OK
REQUEST	1	PRL_CitizenC100_030_StartApplication	PRL_CitizenC100_030_005_StartApplication	1673440079393	1673440079552	OK	 
GROUP	1	PRL_CitizenC100_030_StartApplication	1673440079390	1673440079903	469	OK
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed	1673440079904	1673440091315	OK	 
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed Redirect 1	1673440091331	1673440091395	OK	 
GROUP	1	PRL_CitizenC100_040_WhatYouWillNeed	1673440079903	1673440091559	11617	OK
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName	1673440091561	1673440091650	OK	 
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName Redirect 1	1673440091654	1673440091780	OK	 
GROUP	1	PRL_CitizenC100_050_CaseName	1673440091559	1673440092076	504	OK
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode	1673440092077	1673440092385	OK	 
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode Redirect 1	1673440092390	1673440092565	OK	 
GROUP	1	PRL_CitizenC100_060_ChildrenPostCode	1673440092076	1673440092751	648	OK
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement	1673440092752	1673440092912	OK	 
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement Redirect 1	1673440092913	1673440093072	OK	 
GROUP	1	PRL_CitizenC100_070_WrittenAgreement	1673440092751	1673440093413	642	OK
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt	1673440093420	1673440093574	OK	 
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt Redirect 1	1673440093575	1673440093696	OK	 
GROUP	1	PRL_CitizenC100_080_BeforeCourt	1673440093417	1673440094924	1492	OK
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement	1673440094937	1673440094973	OK	 
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement Redirect 1	1673440094976	1673440095023	OK	 
GROUP	1	PRL_CitizenC100_090_ReachAgreement	1673440094924	1673440095936	989	OK
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep	1673440095949	1673440096019	OK	 
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep Redirect 1	1673440096022	1673440096103	OK	 
GROUP	1	PRL_CitizenC100_100_LegalRep	1673440095937	1673440096681	725	OK
REQUEST	1	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt	1673440096691	1673440096735	OK	 
REQUEST	1	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt Redirect 1	1673440096740	1673440096867	OK	 
GROUP	1	PRL_CitizenC100_110_PermissionFromCourt	1673440096682	1673440097595	896	OK
REQUEST	1	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt	1673440097597	1673440097648	OK	 
REQUEST	1	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt Redirect 1	1673440097651	1673440097701	OK	 
GROUP	1	PRL_CitizenC100_120_WhyPermissionFromCourt	1673440097595	1673440098553	947	OK
REQUEST	1	PRL_CitizenC100_130_WhyCourtShouldGrant	PRL_CitizenC100_130_005_WhyCourtShouldGrant	1673440098554	1673440098587	OK	 
REQUEST	1	PRL_CitizenC100_130_WhyCourtShouldGrant	PRL_CitizenC100_130_005_WhyCourtShouldGrant Redirect 1	1673440098593	1673440098636	OK	 
GROUP	1	PRL_CitizenC100_130_WhyCourtShouldGrant	1673440098553	1673440099325	747	OK
REQUEST	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	PRL_CitizenC100_140_005_InvolvedInEmergencyProtection	1673440099328	1673440099394	OK	 
REQUEST	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	PRL_CitizenC100_140_005_InvolvedInEmergencyProtection Redirect 1	1673440099398	1673440099454	OK	 
GROUP	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	1673440099325	1673440100184	848	OK
REQUEST	1	PRL_CitizenC100_150_AttendingMIAM	PRL_CitizenC100_150_005_AttendingMIAM	1673440100191	1673440100233	OK	 
REQUEST	1	PRL_CitizenC100_150_AttendingMIAM	PRL_CitizenC100_150_005_AttendingMIAM Redirect 1	1673440100236	1673440100301	OK	 
GROUP	1	PRL_CitizenC100_150_AttendingMIAM	1673440100184	1673440101071	874	OK
