ASSERTION	AAECAAIFAAAAAAAAAFlA
RUN	simulations.PRL_Simulation	prl-simulation	1706091229233	 	3.9.5
USER	***** PRL Case Flags 2.1 Journey *****	START	1706091229740
REQUEST	XUI_PRL_033_SelectSupport	XUI_PRL_033_005_SelectSupport	1706091264549	1706091264835	OK	 
GROUP	XUI_PRL_033_SelectSupport	1706091264548	1706091264836	286	OK
REQUEST	XUI_PRL_034_SelectCaseDocuments	XUI_PRL_034_005_SelectCaseDocuments	1706091264837	1706091265013	OK	 
GROUP	XUI_PRL_034_SelectCaseDocuments	1706091264837	1706091265014	176	OK
REQUEST	XUI_PRL_035_SelectHistory	XUI_PRL_035_005_SelectHistory	1706091265016	1706091265167	OK	 
GROUP	XUI_PRL_035_SelectHistory	1706091265014	1706091265169	151	OK
REQUEST	XUI_PRL_036_SelectServiceRequest	XUI_PRL_036_005_SelectServiceRequest	1706091265171	1706091265345	OK	 
REQUEST	XUI_PRL_036_SelectServiceRequest	XUI_PRL_036_010_SelectServiceRequest	1706091265348	1706091266276	OK	 
GROUP	XUI_PRL_036_SelectServiceRequest	1706091265169	1706091266278	1102	OK
REQUEST	XUI_PRL_037_SelectParties	XUI_PRL_037_005_SelectParties	1706091266279	1706091266568	OK	 
REQUEST	XUI_PRL_037_SelectParties	XUI_PRL_037_010_SelectParties	1706091266574	1706091267976	OK	 
GROUP	XUI_PRL_037_SelectParties	1706091266278	1706091267979	1691	OK
REQUEST	XUI_PRL_031_SelectCase	XUI_PRL_031_005_SelectCase	1706091267984	1706091271927	OK	 
GROUP	XUI_PRL_031_SelectCase	1706091267983	1706091271929	3943	OK
REQUEST	XUI_PRL_032_SelectApplication	XUI_PRL_032_005_SelectApplication	1706091271932	1706091272070	OK	 
REQUEST	XUI_PRL_032_SelectApplication	XUI_PRL_032_010_SelectApplication	1706091272074	1706091273240	OK	 
GROUP	XUI_PRL_032_SelectApplication	1706091271930	1706091273243	1304	OK
REQUEST	XUI_PRL_033_SelectSupport	XUI_PRL_033_005_SelectSupport	1706091273244	1706091273326	OK	 
GROUP	XUI_PRL_033_SelectSupport	1706091273243	1706091273328	82	OK
REQUEST	XUI_PRL_034_SelectCaseDocuments	XUI_PRL_034_005_SelectCaseDocuments	1706091273329	1706091273388	OK	 
GROUP	XUI_PRL_034_SelectCaseDocuments	1706091273328	1706091273389	59	OK
REQUEST	XUI_PRL_035_SelectHistory	XUI_PRL_035_005_SelectHistory	1706091273391	1706091273448	OK	 
GROUP	XUI_PRL_035_SelectHistory	1706091273389	1706091273449	57	OK
REQUEST	XUI_PRL_036_SelectServiceRequest	XUI_PRL_036_005_SelectServiceRequest	1706091273451	1706091273511	OK	 
REQUEST	XUI_PRL_036_SelectServiceRequest	XUI_PRL_036_010_SelectServiceRequest	1706091273513	1706091274433	OK	 
GROUP	XUI_PRL_036_SelectServiceRequest	1706091273449	1706091274436	980	OK
REQUEST	XUI_PRL_037_SelectParties	XUI_PRL_037_005_SelectParties	1706091274438	1706091274529	OK	 
REQUEST	XUI_PRL_037_SelectParties	XUI_PRL_037_010_SelectParties	1706091274532	1706091275586	OK	 
GROUP	XUI_PRL_037_SelectParties	1706091274436	1706091275589	1145	OK
REQUEST	XUI_PRL_031_SelectCase	XUI_PRL_031_005_SelectCase	1706091275594	1706091278643	OK	 
GROUP	XUI_PRL_031_SelectCase	1706091275592	1706091278644	3049	OK
