ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	simulations.XUI_Simulation	xui-simulation	1670405315047	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1670405316890	1670405316890
REQUEST	1	XUI_010_Homepage	XUI_010_005_Homepage	1670405316946	1670405317126	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_ConfigurationUI	1670405317854	1670405317926	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_ConfigJson	1670405317940	1670405318009	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_TsAndCs	1670405318011	1670405318081	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_ConfigUI	1670405318086	1670405318133	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_UserDetails	1670405318142	1670405318201	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_IsAuthenticated	1670405318205	1670405318263	OK	 
REQUEST	1	XUI_010_Homepage	XUI_010_010_AuthLogin	1670405318278	1670405318337	OK	 
REQUEST	1	XUI_010_Homepage	XUI_010_010_AuthLogin Redirect 1	1670405318359	1670405318515	OK	 
REQUEST	1	XUI_010_Homepage	XUI_010_010_AuthLogin Redirect 2	1670405318520	1670405318612	OK	 
GROUP	1	XUI_010_Homepage	1670405316911	1670405319180	1736	OK
REQUEST	1	XUI_020_Login	XUI_020_005_Login	1670405319210	1670405319377	OK	 
REQUEST	1	XUI_020_Login	XUI_020_005_Login Redirect 1	1670405319379	1670405321128	OK	 
REQUEST	1	XUI_020_Login	XUI_020_005_Login Redirect 2	1670405321131	1670405321186	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ConfigurationUI	1670405321529	1670405321562	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ConfigJson	1670405321564	1670405321576	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_TsAndCs	1670405321577	1670405321613	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ConfigUI	1670405321615	1670405321648	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_UserDetails	1670405321651	1670405322050	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_IsAuthenticated	1670405322053	1670405322124	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_MonitoringTools	1670405322129	1670405322161	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ActivityOptions	1670405322247	1670405322561	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ActivityGet	1670405322567	1670405323440	OK	 
REQUEST	1	XUI_020_Login	XUI_020_010_Jurisdictions	1670405323461	1670405327294	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_OrgDetails	1670405327307	1670405327785	OK	 
REQUEST	1	XUI_020_Login	XUI_020_015_WorkBasketInputs	1670405327788	1670405330006	OK	 
REQUEST	1	XUI_020_Login	XUI_020_020_SearchCases	1670405330021	1670405332713	OK	 
GROUP	1	XUI_020_Login	1670405319181	1670405332720	13334	OK
REQUEST	1	XUI_PRL_030_SelectCase	XUI_PRL_030_005_SelectCase	1670405332751	1670405334590	OK	 
REQUEST	1	XUI_PRL_030_SelectCase	XUI_Common_000_UserDetails	1670405334600	1670405334671	OK	 
GROUP	1	XUI_PRL_030_SelectCase	1670405332724	1670405334677	1910	OK
REQUEST	1	XUI_PRL_040_SelectIssue	XUI_PRL_040_005_SelectIssue	1670405334680	1670405339869	OK	 
REQUEST	1	XUI_PRL_040_SelectIssue	XUI_Common_000_UserDetails	1670405339882	1670405339962	OK	 
GROUP	1	XUI_PRL_040_SelectIssue	1670405334677	1670405339963	5269	OK
REQUEST	1	XUI_PRL_050_LocalCourt	XUI_PRL_050_005_LocalCourt	1670405339964	1670405342250	OK	 
REQUEST	1	XUI_PRL_050_LocalCourt	XUI_Common_000_UserDetails	1670405342254	1670405342291	OK	 
GROUP	1	XUI_PRL_050_LocalCourt	1670405339963	1670405342294	2323	OK
REQUEST	1	XUI_PRL_060_LocalCourtSubmit	XUI_PRL_060_005_LocalCourtSubmit	1670405342296	1670405357185	OK	 
REQUEST	1	XUI_PRL_060_LocalCourtSubmit	XUI_Common_000_UserDetails	1670405357194	1670405357239	OK	 
GROUP	1	XUI_PRL_060_LocalCourtSubmit	1670405342294	1670405357247	14934	OK
REQUEST	1	XUI_PRL_070_SendToGateKeeper	XUI_PRL_070_005_SendToGateKeeper	1670405357253	1670405359881	OK	 
REQUEST	1	XUI_PRL_070_SendToGateKeeper	XUI_Common_000_UserDetails	1670405359894	1670405359968	OK	 
GROUP	1	XUI_PRL_070_SendToGateKeeper	1670405357247	1670405359970	2702	OK
REQUEST	1	XUI_PRL_080_AddGateKeeper	XUI_PRL_080_005_AddGateKeeper	1670405359971	1670405362089	OK	 
GROUP	1	XUI_PRL_080_AddGateKeeper	1670405359970	1670405362091	2118	OK
REQUEST	1	XUI_PRL_090_GateKeeperSubmit	XUI_PRL_090_005_GateKeeperSubmit	1670405362092	1670405364242	KO	substring(GATE_KEEPING).find.exists, found nothing
GROUP	1	XUI_PRL_090_GateKeeperSubmit	1670405362091	1670405364312	2150	KO
USER	***** Private Law Create Case *****	1	END	1670405316890	1670405364323
