ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	simulations.XUI_Simulation	xui-simulation	1678808107133	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1678808108071	1678808108071
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome	1678808108122	1678808108221	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 1	1678808108254	1678808108308	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 2	1678808108311	1678808108385	OK	 
GROUP	1	PRL_CitizenC100_010_PRLHome	1678808108094	1678808108743	471	OK
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login	1678808108752	1678808108893	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 1	1678808108900	1678808109348	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 2	1678808109352	1678808111299	OK	 
GROUP	1	PRL_CitizenC100_020_Login	1678808108744	1678808111475	2692	OK
REQUEST	1	PRL_CitizenC100_030_StartApplication	PRL_CitizenC100_030_005_StartApplication	1678808111476	1678808111557	OK	 
GROUP	1	PRL_CitizenC100_030_StartApplication	1678808111475	1678808111626	130	OK
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed	1678808111627	1678808117569	OK	 
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed Redirect 1	1678808117575	1678808117635	OK	 
GROUP	1	PRL_CitizenC100_040_WhatYouWillNeed	1678808111626	1678808117750	6082	OK
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName	1678808117751	1678808117783	OK	 
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName Redirect 1	1678808117787	1678808117817	OK	 
GROUP	1	PRL_CitizenC100_050_CaseName	1678808117750	1678808117879	119	OK
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode	1678808117881	1678808117916	OK	 
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode Redirect 1	1678808117918	1678808117951	OK	 
GROUP	1	PRL_CitizenC100_060_ChildrenPostCode	1678808117879	1678808118007	118	OK
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement	1678808118007	1678808118037	OK	 
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement Redirect 1	1678808118039	1678808118071	OK	 
GROUP	1	PRL_CitizenC100_070_WrittenAgreement	1678808118007	1678808118128	114	OK
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt	1678808118128	1678808118157	OK	 
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt Redirect 1	1678808118159	1678808118192	OK	 
GROUP	1	PRL_CitizenC100_080_BeforeCourt	1678808118128	1678808118270	134	OK
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement	1678808118273	1678808118302	OK	 
