ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	simulations.XUI_Simulation	xui-simulation	1678809839045	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1678809839991	1678809839991
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome	1678809840035	1678809840145	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 1	1678809840187	1678809840242	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 2	1678809840246	1678809840305	OK	 
GROUP	1	PRL_CitizenC100_010_PRLHome	1678809840007	1678809840623	419	OK
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login	1678809840632	1678809840939	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 1	1678809840945	1678809841402	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 2	1678809841407	1678809842785	OK	 
GROUP	1	PRL_CitizenC100_020_Login	1678809840624	1678809842953	2292	OK
REQUEST	1	PRL_CitizenC100_030_StartApplication	PRL_CitizenC100_030_005_StartApplication	1678809842954	1678809843026	OK	 
GROUP	1	PRL_CitizenC100_030_StartApplication	1678809842953	1678809843108	134	OK
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed	1678809843108	1678809848888	OK	 
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed Redirect 1	1678809848891	1678809848924	OK	 
GROUP	1	PRL_CitizenC100_040_WhatYouWillNeed	1678809843108	1678809849006	5874	OK
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName	1678809849007	1678809849036	OK	 
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName Redirect 1	1678809849038	1678809849069	OK	 
GROUP	1	PRL_CitizenC100_050_CaseName	1678809849006	1678809849132	113	OK
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode	1678809849135	1678809849167	OK	 
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode Redirect 1	1678809849169	1678809849236	OK	 
GROUP	1	PRL_CitizenC100_060_ChildrenPostCode	1678809849132	1678809849318	169	OK
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement	1678809849319	1678809849359	OK	 
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement Redirect 1	1678809849361	1678809849390	OK	 
GROUP	1	PRL_CitizenC100_070_WrittenAgreement	1678809849318	1678809849449	123	OK
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt	1678809849450	1678809849481	OK	 
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt Redirect 1	1678809849483	1678809849544	OK	 
GROUP	1	PRL_CitizenC100_080_BeforeCourt	1678809849449	1678809849601	142	OK
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement	1678809849603	1678809849635	OK	 
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement Redirect 1	1678809849636	1678809849667	OK	 
GROUP	1	PRL_CitizenC100_090_ReachAgreement	1678809849601	1678809849734	121	OK
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep	1678809849737	1678809849779	OK	 
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep Redirect 1	1678809849781	1678809849839	OK	 
GROUP	1	PRL_CitizenC100_100_LegalRep	1678809849735	1678809849947	203	OK
REQUEST	1	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt	1678809849949	1678809849978	OK	 
REQUEST	1	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt Redirect 1	1678809849980	1678809850015	OK	 
GROUP	1	PRL_CitizenC100_110_PermissionFromCourt	1678809849947	1678809850078	120	OK
REQUEST	1	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt	1678809850079	1678809850117	OK	 
REQUEST	1	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt Redirect 1	1678809850119	1678809850146	OK	 
GROUP	1	PRL_CitizenC100_120_WhyPermissionFromCourt	1678809850078	1678809850204	117	OK
REQUEST	1	PRL_CitizenC100_130_WhyCourtShouldGrant	PRL_CitizenC100_130_005_WhyCourtShouldGrant	1678809850205	1678809850235	OK	 
REQUEST	1	PRL_CitizenC100_130_WhyCourtShouldGrant	PRL_CitizenC100_130_005_WhyCourtShouldGrant Redirect 1	1678809850236	1678809850273	OK	 
GROUP	1	PRL_CitizenC100_130_WhyCourtShouldGrant	1678809850204	1678809850326	117	OK
REQUEST	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	PRL_CitizenC100_140_005_InvolvedInEmergencyProtection	1678809850326	1678809850356	OK	 
REQUEST	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	PRL_CitizenC100_140_005_InvolvedInEmergencyProtection Redirect 1	1678809850357	1678809850420	OK	 
GROUP	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	1678809850326	1678809850477	144	OK
REQUEST	1	PRL_CitizenC100_150_AttendingMIAM	PRL_CitizenC100_150_005_AttendingMIAM	1678809850478	1678809850511	OK	 
REQUEST	1	PRL_CitizenC100_150_AttendingMIAM	PRL_CitizenC100_150_005_AttendingMIAM Redirect 1	1678809850512	1678809850540	OK	 
GROUP	1	PRL_CitizenC100_150_AttendingMIAM	1678809850478	1678809850593	110	OK
